# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.5 0.966884141513851
1024 1 0.966891919747056
1536 1.5 0.966899267431502
2048 2 0.966907293001094
2560 2.5 0.966915662772479
3072 3 0.966924064449551
3584 3.5 0.966932585276295
4096 4 0.966941284227441
4608 4.5 0.966950140575944
5120 5 0.966959129721714
5632 5.5 0.966968259053454
6144 6 0.966977552327923
6656 6.5 0.966987005736317
7168 7 0.966996600913954
7680 7.5 0.967006340773163
8192 8 0.967016236635329
8704 8.5 0.967026285234493
9216 9 0.967036478130808
9728 9.5 0.967046815417185
10240 10 0.967057301533792
10752 10.5 0.967067935197787
11264 11 0.967078709981924
11776 11.5 0.967089623396557
12288 12 0.967100676990468
12800 12.5 0.967111868287342
13312 13 0.967123190948921
13824 13.5 0.967134641042127
14336 14 0.967146216895589
14848 14.5 0.967157914465884
15360 15 0.967169726895039
15872 15.5 0.967181648070846
16384 16 0.96719367355554
16896 16.5 0.96720579745193
17408 17 0.96721801129168
17920 17.5 0.967230306804586
18432 18 0.967242676868983
18944 18.5 0.967255113187282
19456 19 0.967267605442447
19968 19.5 0.96728014311176
20480 20 0.967292716352927
20992 20.5 0.967305314606802
21504 21 0.96731792567729
22016 21.5 0.967330536964619
22528 22 0.967343136451724
23040 22.5 0.967355711734004
23552 23 0.967368249484853
24064 23.5 0.967380736707836
24576 24 0.967393160091256
25088 24.5 0.967405501126327
25600 25 0.967417736794611
26112 25.5 0.967429860775352
26624 26 0.967441903196762
27136 26.5 0.967453878837494
27648 27 0.967465679601353
28160 27.5 0.967477134388978
28672 28 0.967488351733492
29184 28.5 0.967499870336786
29696 29 0.967512073516505
30208 29.5 0.967524501586055
30720 30 0.96753629998852
31232 30.5 0.967547307714338
31744 31 0.967557975098691
32256 31.5 0.967568382909588
32768 32 0.967578335974462
33280 32.5 0.967588108816849
33792 33 0.967597968683701
34304 33.5 0.967607448305623
34816 34 0.967616077858697
35328 34.5 0.96762419810732
35840 35 0.967632528439976
36352 35.5 0.967641505272648
36864 36 0.96765082469864
37376 36.5 0.967659531378365
37888 37 0.967667592768146
38400 37.5 0.967676607036747
38912 38 0.967687378418205
39424 38.5 0.967698581496075
39936 39 0.967709296338306
40448 39.5 0.967720256063714
40960 40 0.967731711955336
41472 40.5 0.967742827491365
41984 41 0.967753394245537
42496 41.5 0.967764143142222
43008 42 0.967775619336273
43520 42.5 0.967787642004665
44032 43 0.967799623221743
44544 43.5 0.967811278583885
45056 44 0.967822790534498
45568 44.5 0.967834194189513
46080 45 0.967845196780104
46592 45.5 0.967855561894974
47104 46 0.967865426213715
47616 46.5 0.967875458457311
48128 47 0.967886083756689
48640 47.5 0.967896502989945
49152 48 0.967905880930387
49664 48.5 0.967914851881443
50176 49 0.967924174579367
50688 49.5 0.967933379930478
51200 50 0.9679420670074
51712 50.5 0.967950625438092
52224 51 0.967959131297233
52736 51.5 0.967967267883966
53248 52 0.967975134088603
53760 52.5 0.967982961676659
54272 53 0.967990572754722
