# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000163839998067005
512 0.5 0.000163077294009575
1024 1 0.000162347480635909
1536 1.5 0.000161664795202892
2048 2 0.000161024676506252
2560 2.5 0.0001604315622773
3072 3 0.000159891457914018
3584 3.5 0.000159444769598811
4096 4 0.000159081680835429
4608 4.5 0.000158803727625331
5120 5 0.000158610983350213
5632 5.5 0.000158501867315099
6144 6 0.000158472830050784
6656 6.5 0.000158518041481315
7168 7 0.0001586297255954
7680 7.5 0.000158799079009505
8192 8 0.000159016920313738
8704 8.5 0.000159273481534491
9216 9 0.000159558108706701
9728 9.5 0.000159860219037253
10240 10 0.000160171152532985
10752 10.5 0.000160484532503051
11264 11 0.000160794083050416
11776 11.5 0.000161091849490271
12288 12 0.000161370241692069
12800 12.5 0.000161625654738249
13312 13 0.000161858139572081
13824 13.5 0.000162067217049618
14336 14 0.000162249858004978
14848 14.5 0.000162403713265063
15360 15 0.000162530198817463
15872 15.5 0.00016263217947836
16384 16 0.000162709963913899
16896 16.5 0.00016276224154123
17408 17 0.000162790472955075
17920 17.5 0.000162799570424873
18432 18 0.000162793662285295
18944 18.5 0.000162773320141467
19456 19 0.00016273798359065
19968 19.5 0.000162689517644285
20480 20 0.000162631982956563
20992 20.5 0.000162568713531476
21504 21 0.000162500886757374
22016 21.5 0.000162428578602857
22528 22 0.00016235192151958
23040 22.5 0.000162270892578697
23552 23 0.000162184775463478
24064 23.5 0.00016209257324603
24576 24 0.000161993945232214
25088 24.5 0.000161889291613351
25600 25 0.000161778560766687
26112 25.5 0.000161660051242252
26624 26 0.000161530902583168
27136 26.5 0.000161389209052291
27648 27 0.000161235527316393
28160 27.5 0.000161071907150342
28672 28 0.000160899439864828
29184 28.5 0.000160717028677313
29696 29 0.000160522404512329
30208 29.5 0.000160313898755965
30720 30 0.000160091393123936
31232 30.5 0.000159856358905468
31744 31 0.000159611266086787
32256 31.5 0.000159358244969828
32768 32 0.000159097679115974
33280 32.5 0.000158828393647002
33792 33 0.000158549788591213
34304 33.5 0.000158263733402357
34816 34 0.000157973989151105
35328 34.5 0.000157683761546775
35840 35 0.000157394030651369
36352 35.5 0.000157104156954029
36864 36 0.000156813853153344
37376 36.5 0.000156524648710342
37888 37 0.000156239750125632
38400 37.5 0.000155962414150797
38912 38 0.000155694068458763
39424 38.5 0.00015543397051412
39936 39 0.000155180899580892
40448 39.5 0.000154935370527396
40960 40 0.000154700039891639
41472 40.5 0.000154477657589726
41984 41 0.000154268624530566
42496 41.5 0.000154070933198553
43008 42 0.000153882776016984
43520 42.5 0.000153704924122647
44032 43 0.000153540014194733
44544 43.5 0.000153389540324518
45056 44 0.000153252261671847
45568 44.5 0.00015312599071312
46080 45 0.000153010373802066
46592 45.5 0.000152907026376908
47104 46 0.000152817060778225
47616 46.5 0.000152739495428237
48128 47 0.000152672585979482
48640 47.5 0.000152615978258969
49152 48 0.000152570607848979
49664 48.5 0.00015253665376859
50176 49 0.000152512598831903
50688 49.5 0.000152496739140673
51200 50 0.000152488971333946
51712 50.5 0.000152490347262695
52224 51 0.000152500999505219
52736 51.5 0.000152519234221866
53248 52 0.000152543021660439
53760 52.5 0.000152571974585085
54272 53 0.000152607269351515
54784 53.5 0.000152649611051066
55296 54 0.000152697875279082
55808 54.5 0.000152750157906834
56320 55 0.000152805755997451
56832 55.5 0.00015286541720827
57344 56 0.000152929692962881
57856 56.5 0.000152997850070057
58368 57 0.000153068767418757
58880 57.5 0.000153142223607814
59392 58 0.000153218581920352
59904 58.5 0.000153297568871015
60416 59 0.000153378266033818
60928 59.5 0.000153460351242071
61440 60 0.000153544468814463
61952 60.5 0.000153630946255226
62464 61 0.000153718817002248
62976 61.5 0.000153806795866881
63488 62 0.000153894835443142
64000 62.5 0.00015398390299223
64512 63 0.000154074299425894
65024 63.5 0.000154165057849462
65536 64 0.000154255256099746
66048 64.5 0.00015434513296196
66560 65 0.000154435299516678
67072 65.5 0.000154525369287502
67584 66 0.000154614193439586
68096 66.5 0.000154701316032087
68608 67 0.000154787392590837
69120 67.5 0.000154872998089195
69632 68 0.000154957682498522
70144 68.5 0.000155040559306232
70656 69 0.00015512132166362
71168 69.5 0.000155200210276942
71680 70 0.000155277348350498
72192 70.5 0.000155352694010007
72704 71 0.000155426475336592
73216 71.5 0.000155499017602589
73728 72 0.000155570039545948
74240 72.5 0.000155638679879084
74752 73 0.00015570453399066
75264 73.5 0.000155768321826154
75776 74 0.000155831164191319
76288 74.5 0.000155893345004232
76800 75 0.000155954090742899
77312 75.5 0.00015601251960407
77824 76 0.00015606857298964
78336 76.5 0.000156123023755442
78848 77 0.000156176751049265
79360 77.5 0.000156230006652229
79872 78 0.000156282248931421
80384 78.5 0.000156332718680002
80896 79 0.000156381322744341
81408 79.5 0.000156428892182482
81920 80 0.000156476349624747
82432 80.5 0.000156523659971927
82944 81 0.000156569943274681
83456 81.5 0.000156614736427955
83968 82 0.000156658758922012
84480 82.5 0.00015670307680444
84992 83 0.000156747755733861
85504 83.5 0.000156791875916941
86016 84 0.000156834918718039
86528 84.5 0.000156877608807879
87040 85 0.000156921048044973
87552 85.5 0.000156965338836025
88064 86 0.000157009560303212
88576 86.5 0.000157053091557566
89088 87 0.000157096509330414
89600 87.5 0.0001571409300441
90112 88 0.00015718670104305
90624 88.5 0.000157233096346384
91136 89 0.000157279331116991
91648 89.5 0.000157325588497329
92160 90 0.000157372820225731
92672 90.5 0.000157421631667704
93184 91 0.000157471642822018
93696 91.5 0.000157522054209125
94208 92 0.000157572641814376
94720 92.5 0.000157623957300847
95232 93 0.000157676599546884
95744 93.5 0.000157730554002823
96256 94 0.000157785344611503
96768 94.5 0.000157840628185612
97280 95 0.000157896452182228
97792 95.5 0.00015795304840721
98304 96 0.000158010598630698
98816 96.5 0.00015806916431294
99328 97 0.00015812861646393
99840 97.5 0.000158188614018757
100352 98 0.000158248889134093
100864 98.5 0.000158309639752765
101376 99 0.000158371402939546
101888 99.5 0.000158434374479181
102400 100 0.00015849806610412
102912 100.5 0.000158561891422387
103424 101 0.000158625952074984
103936 101.5 0.000158690924063081
104448 102 0.00015875719104801
104960 102.5 0.000158824413817992
105472 103 0.000158892043209957
105984 103.5 0.000158959987263689
106496 104 0.000159028611642376
107008 104.5 0.000159098272994833
107520 105 0.000159169039333106
108032 105.5 0.000159240758576302
108544 106 0.000159313225600666
109056 106.5 0.000159386327930752
109568 107 0.000159460159944466
110080 107.5 0.000159534974764746
110592 108 0.000159610936190222
111104 108.5 0.000159687940946213
111616 109 0.00015976574366392
112128 109.5 0.000159844210422839
112640 110 0.000159923387684147
113152 110.5 0.00016000338187179
113664 111 0.000160084256656263
114176 111.5 0.000160165998483538
114688 112 0.000160248472003408
115200 112.5 0.000160331425094788
115712 113 0.000160414657797537
116224 113.5 0.000160498216881119
116736 114 0.000160582318647359
117248 114.5 0.000160667005556668
117760 115 0.000160751946560125
118272 115.5 0.00016083667782216
118784 116 0.000160921024791499
119296 116.5 0.000161005183364583
119808 117 0.000161089349538398
120320 117.5 0.000161173352525961
120832 118 0.00016125673391772
121344 118.5 0.000161339152663037
121856 119 0.00016142061021822
122368 119.5 0.000161501247583787
122880 120 0.000161581004972068
123392 120.5 0.000161659575722761
123904 121 0.000161736681940212
124416 121.5 0.000161812282623841
124928 122 0.000161886432725793
125440 122.5 0.000161959005972309
125952 123 0.000162029703583503
126464 123.5 0.000162098365520288
126976 124 0.000162165123071105
127488 124.5 0.00016223011490661
128000 125 0.000162293142399171
128512 125.5 0.000162353794982092
129024 126 0.000162411917973452
129536 126.5 0.000162467761109256
130048 127 0.000162521574348501
130560 127.5 0.00016257321319994
131072 128 0.000162622296612574
131584 128.5 0.000162668662860787
132096 129 0.000162712485030573
132608 129.5 0.00016275395256758
133120 130 0.000162793019304954
133632 130.5 0.000162829519017911
134144 131 0.000162863380984516
134656 131.5 0.000162894623510264
135168 132 0.000162923228031028
135680 132.5 0.000162949156011903
136192 133 0.000162972463252486
136704 133.5 0.000162993264855822
137216 134 0.000163011552880823
137728 134.5 0.000163027147988836
138240 135 0.000163039906110315
138752 135.5 0.000163049923617825
139264 136 0.000163057450540106
139776 136.5 0.000163062597216533
140288 137 0.000163065198863525
140800 137.5 0.000163065014297265
141312 138 0.000163062021093826
141824 138.5 0.000163056449747543
142336 139 0.000163048519768088
142848 139.5 0.00016303820363699
143360 140 0.000163025300450183
143872 140.5 0.000163009708188889
144384 141 0.000162991545340046
144896 141.5 0.000162970992288182
145408 142 0.00016294809384127
145920 142.5 0.00016292278108901
146432 143 0.0001628950350716
146944 143.5 0.000162864929195678
147456 144 0.000162832513631287
147968 144.5 0.000162797767438084
148480 145 0.000162760719250713
148992 145.5 0.00016272152796117
149504 146 0.000162680342840937
150016 146.5 0.000162637126053194
150528 147 0.000162591736568081
151040 147.5 0.000162544201421661
151552 148 0.000162494783970946
152064 148.5 0.000162443719395291
152576 149 0.000162390976849968
153088 149.5 0.000162336390868046
153600 150 0.000162279983848831
154112 150.5 0.000162222031926601
154624 151 0.000162162795775427
155136 151.5 0.000162102302063181
155648 152 0.000162040463147547
156160 152.5 0.000161977336925844
156672 153 0.000161913160566592
157184 153.5 0.000161848143178891
157696 154 0.000161782331960132
158208 154.5 0.000161715719766587
158720 155 0.000161648404286557
159232 155.5 0.000161580570801945
159744 156 0.000161512357208156
160256 156.5 0.000161443809457183
160768 157 0.000161374960431888
161280 157.5 0.000161305888504199
161792 158 0.000161236692623102
162304 158.5 0.000161167462993216
162816 159 0.000161098283503568
163328 159.5 0.000161029207732969
163840 160 0.000160960219769292
164352 160.5 0.000160891281902804
164864 161 0.00016082245051294
165376 161.5 0.000160753879713313
165888 162 0.000160685657903632
166400 162.5 0.000160617697800732
166912 163 0.000160549867155348
167424 163.5 0.000160482197346042
167936 164 0.000160414869693673
168448 164.5 0.000160347992335084
168960 165 0.000160281483551822
169472 165.5 0.000160215217626865
169984 166 0.000160149215271025
170496 166.5 0.000160083620102726
171008 167 0.000160018520053346
171520 167.5 0.000159953869224623
172032 168 0.000159889594066615
172544 168.5 0.000159825714824726
173056 169 0.000159762324885948
173568 169.5 0.000159699483761634
174080 170 0.000159637179249327
174592 170.5 0.000159575390619169
175104 171 0.00015951414350861
175616 171.5 0.000159453486069581
176128 172 0.000159393448071648
176640 172.5 0.000159334054830607
177152 173 0.000159275354796793
177664 173.5 0.000159217390520677
178176 174 0.000159160156344773
178688 174.5 0.000159103636906695
179200 175 0.000159047891049807
179712 175.5 0.000158993042353824
180224 176 0.000158939162087716
180736 176.5 0.000158886209842984
181248 177 0.000158834132145418
181760 177.5 0.000158782985412235
182272 178 0.000158732906590583
182784 178.5 0.000158683976557317
183296 179 0.000158636170681858
183808 179.5 0.000158589449943037
184320 180 0.000158543845763769
184832 180.5 0.000158499429404461
185344 181 0.000158456240798926
185856 181.5 0.000158414286633066
186368 182 0.000158373581070962
186880 182.5 0.000158334141827163
187392 183 0.000158295956007391
187904 183.5 0.000158258995823141
188416 184 0.000158223271671261
188928 184.5 0.000158188827498377
189440 185 0.000158155670675061
189952 185.5 0.000158123744704533
190464 186 0.000158092991675398
190976 186.5 0.000158063406256591
191488 187 0.00015803499919519
192000 187.5 0.000158007738024883
192512 188 0.000157981561051129
193024 188.5 0.000157956429096607
193536 189 0.000157932322990273
194048 189.5 0.000157909200938304
194560 190 0.000157886998509147
195072 190.5 0.000157865669812857
195584 191 0.000157845195167565
196096 191.5 0.000157825545822163
196608 192 0.000157806670503966
197120 192.5 0.000157788521638276
197632 193 0.000157771070318452
198144 193.5 0.000157754291668241
198656 194 0.000157738159711614
199168 194.5 0.00015772266235614
199680 195 0.000157707798280775
200192 195.5 0.000157693551388351
200704 196 0.000157679890910497
201216 196.5 0.000157666807726491
201728 197 0.00015765432972353
202240 197.5 0.000157642487256344
202752 198 0.000157631282907552
203264 198.5 0.000157620713605758
203776 199 0.000157610805086336
204288 199.5 0.00015760160012623
204800 200 0.00015759312544759
205312 200.5 0.000157585400961562
205824 201 0.000157578477128388
206336 201.5 0.000157572426599973
206848 202 0.000157567289343722
207360 202.5 0.000157563061650678
207872 203 0.00015755976379551
208384 203.5 0.000157557489819027
208896 204 0.000157556351300296
209408 204.5 0.000157556383973626
209920 205 0.000157557554180078
210432 205.5 0.000157559862828576
210944 206 0.00015756339945346
211456 206.5 0.000157568269461143
211968 207 0.000157574500245006
212480 207.5 0.000157582054570795
212992 208 0.000157590918319157
213504 208.5 0.000157601133175211
214016 209 0.0001576127437032
214528 209.5 0.000157625751472436
215040 210 0.000157640134623963
215552 210.5 0.000157655881308503
216064 211 0.000157672981348174
216576 211.5 0.000157691406115679
217088 212 0.000157711123182675
217600 212.5 0.00015773211912511
218112 213 0.00015775438099259
218624 213.5 0.000157777860801579
219136 214 0.000157802486632297
219648 214.5 0.000157828209934221
220160 215 0.000157855012822882
220672 215.5 0.000157882860157012
221184 216 0.000157911674306198
221696 216.5 0.000157941376863155
222208 217 0.000157971929997238
222720 217.5 0.000158003307272621
223232 218 0.000158035441084142
223744 218.5 0.000158068237548541
224256 219 0.000158101640907016
224768 219.5 0.000158135644202975
225280 220 0.000158170225223391
225792 220.5 0.000158205306802451
226304 221 0.0001582408044624
226816 221.5 0.000158276689032063
227328 222 0.000158312970628244
227840 222.5 0.00015834963194921
228352 223 0.000158386611718965
228864 223.5 0.000158423857726401
229376 224 0.000158461365993237
229888 224.5 0.00015849915121143
230400 225 0.000158537199143174
230912 225.5 0.000158575472185508
231424 226 0.000158613953451876
231936 226.5 0.000158652659459499
232448 227 0.000158691605170737
232960 227.5 0.000158730777479301
233472 228 0.000158770155611103
233984 228.5 0.000158809744777863
234496 229 0.000158849573701242
235008 229.5 0.000158889662387198
235520 230 0.000158930005805917
236032 230.5 0.00015897059221653
236544 231 0.000159011429370106
237056 231.5 0.000159052546702537
237568 232 0.000159093972847111
238080 232.5 0.000159135714731923
238592 233 0.000159177761941468
239104 233.5 0.000159220111821896
239616 234 0.000159262784833691
240128 234.5 0.000159305808685321
240640 235 0.000159349189780032
241152 235.5 0.000159392910278091
241664 236 0.000159436955668322
242176 236.5 0.000159481334201785
242688 237 0.000159526060577136
243200 237.5 0.000159571128478967
243712 238 0.000159616512145721
244224 238.5 0.000159662192061404
244736 239 0.000159708163766009
245248 239.5 0.000159754417520035
245760 240 0.000159800923609821
246272 240.5 0.000159847647895695
246784 241 0.000159894571636675
247296 241.5 0.000159941681660281
247808 242 0.000159988945830833
248320 242.5 0.000160036314819843
248832 243 0.00016008374986219
249344 243.5 0.000160131232919302
249856 244 0.000160178741553639
250368 244.5 0.000160226226442264
250880 245 0.000160273626602171
251392 245.5 0.000160320899909263
251904 246 0.000160368023675477
252416 246.5 0.000160414965621123
252928 247 0.000160461668228008
253440 247.5 0.000160508067120405
253952 248 0.0001605541153764
254464 248.5 0.000160599782130496
254976 249 0.00016064503273944
255488 249.5 0.000160689818712057
256000 250 0.000160734086071912
256512 250.5 0.000160777787516506
257024 251 0.000160820885935114
257536 251.5 0.000160863350185169
258048 252 0.00016090514796027
258560 252.5 0.000160946239866304
259072 253 0.000160986581163373
259584 253.5 0.000161026133330017
260096 254 0.000161064873620386
260608 254.5 0.000161102788262466
261120 255 0.000161139855624911
261632 255.5 0.000161176042392369
262144 256 0.000161211319539852
262656 256.5 0.000161245675994535
263168 257 0.000161279110461981
263680 257.5 0.000161311613844785
264192 258 0.000161343167645119
264704 258.5 0.000161373758759912
265216 259 0.000161403387966529
265728 259.5 0.000161432061925303
266240 260 0.000161459783028816
266752 260.5 0.000161486550315692
267264 261 0.00016151236587523
267776 261.5 0.00016153723662442
268288 262 0.000161561172240131
268800 262.5 0.000161584183843496
269312 263 0.000161606282361732
269824 263.5 0.000161627475833495
270336 264 0.000161647770187543
270848 264.5 0.00016166717441901
271360 265 0.000161685702801906
271872 265.5 0.000161703369921749
272384 266 0.000161720185386417
272896 266.5 0.00016173615550625
273408 267 0.000161751288350815
273920 267.5 0.000161765594466023
274432 268 0.000161779083509119
274944 268.5 0.000161791762648177
275456 269 0.000161803637929846
275968 269.5 0.000161814714929215
276480 270 0.000161824997745078
276992 270.5 0.000161834489226615
277504 271 0.000161843193278796
278016 271.5 0.000161851116339685
278528 272 0.000161858265627806
279040 272.5 0.000161864645323064
279552 273 0.000161870254767338
280064 273.5 0.000161875092418196
280576 274 0.000161879163271887
281088 274.5 0.000161882480382013
281600 275 0.000161885054949168
282112 275.5 0.000161886886549074
282624 276 0.00016188796952562
283136 276.5 0.000161888308845824
283648 277 0.000161887921089163
284160 277.5 0.000161886816407999
284672 278 0.000161884988506265
285184 278.5 0.000161882429816561
285696 279 0.000161879149204731
286208 279.5 0.000161875164427522
286720 280 0.000161870482554955
287232 280.5 0.000161865101482141
287744 281 0.000161859029756672
288256 281.5 0.000161852290291018
288768 282 0.000161844900965653
289280 282.5 0.00016183686546859
289792 283 0.000161828190896575
290304 283.5 0.000161818902380293
290816 284 0.000161809029022827
291328 284.5 0.000161798583963575
291840 285 0.000161787571785544
292352 285.5 0.000161776010811592
292864 286 0.000161763933305407
293376 286.5 0.00016175136381611
293888 287 0.000161738311512371
294400 287.5 0.000161724787914511
294912 288 0.000161710819729509
295424 288.5 0.000161696436139539
295936 289 0.000161681652191685
296448 289.5 0.000161666474973251
296960 290 0.000161650921661932
297472 290.5 0.000161635020724807
297984 291 0.000161618795518516
298496 291.5 0.000161602256046707
299008 292 0.000161585409837323
299520 292.5 0.000161568274023337
300032 293 0.000161550871865283
300544 293.5 0.000161533221258109
301056 294 0.00016151533161507
301568 294.5 0.000161497210535019
302080 295 0.000161478869249868
302592 295.5 0.000161460321161334
303104 296 0.000161441577803336
303616 296.5 0.000161422647492891
304128 297 0.000161403536886047
304640 297.5 0.000161384252637792
305152 298 0.000161364801093844
305664 298.5 0.000161345186870962
306176 299 0.000161325413329584
306688 299.5 0.000161305485332742
307200 300 0.000161285409796559
307712 300.5 0.000161265191420007
308224 301 0.00016124482933894
308736 301.5 0.000161224321361873
309248 302 0.000161203671195644
309760 302.5 0.000161182887596091
310272 303 0.000161161975359665
310784 303.5 0.000161140931116406
311296 304 0.000161119750820085
311808 304.5 0.000161098438590329
312320 305 0.000161077004310993
312832 305.5 0.000161055453822845
313344 306 0.000161033786097237
313856 306.5 0.000161012001175698
314368 307 0.000160990107204522
314880 307.5 0.000160968117018428
315392 308 0.00016094604013854
315904 308.5 0.000160923881759752
316416 309 0.000160901649148066
316928 309.5 0.000160879355499952
317440 310 0.000160857016380942
317952 310.5 0.0001608346450892
318464 311 0.000160812253687002
318976 311.5 0.000160789856984131
319488 312 0.000160767472644748
320000 312.5 0.000160745117273167
320512 313 0.000160722804830926
321024 313.5 0.000160700550287361
321536 314 0.000160678373310996
322048 314.5 0.000160656296087635
322560 315 0.000160634337616099
323072 315.5 0.000160612512568239
323584 316 0.000160590836994559
324096 316.5 0.000160569333075419
324608 317 0.000160548025622658
325120 317.5 0.00016052693466621
325632 318 0.000160506074547831
326144 318.5 0.000160485460754482
326656 319 0.00016046511441875
327168 319.5 0.00016044505797915
327680 320 0.000160425308513073
328192 320.5 0.000160405878135287
328704 321 0.000160386779984447
329216 321.5 0.000160368030652285
329728 322 0.000160349646146643
330240 322.5 0.0001603316379793
330752 323 0.000160314014747659
331264 323.5 0.000160296785884527
331776 324 0.000160279961577927
332288 324.5 0.000160263549329037
332800 325 0.000160247552750197
333312 325.5 0.000160231974471723
333824 326 0.000160216818612867
334336 326.5 0.000160202089039839
334848 327 0.000160187786107527
335360 327.5 0.000160173906736592
335872 328 0.000160160447611267
336384 328.5 0.000160147406995571
336896 329 0.000160134783119599
337408 329.5 0.000160122571941749
337920 330 0.000160110767376884
338432 330.5 0.0001600993630339
338944 331 0.000160088352362931
339456 331.5 0.000160077727320342
339968 332 0.000160067479268546
340480 332.5 0.00016005760259364
340992 333 0.000160048095146989
341504 333.5 0.000160038952585542
342016 334 0.000160030164712189
342528 334.5 0.000160021721692511
343040 335 0.000160013622304433
343552 335.5 0.000160005870659525
344064 336 0.000159998465362479
344576 336.5 0.000159991398028313
345088 337 0.000159984663214647
345600 337.5 0.000159978263836106
346112 338 0.000159972205229467
346624 338.5 0.000159966489462357
347136 339 0.000159961117706765
347648 339.5 0.000159956093507793
348160 340 0.000159951421364316
348672 340.5 0.000159947105847085
349184 341 0.000159943154106633
349696 341.5 0.000159939576247928
350208 342 0.000159936381833316
350720 342.5 0.000159933578505593
351232 343 0.000159931174747998
351744 343.5 0.000159929181596741
352256 344 0.000159927611235089
352768 344.5 0.000159926476024259
353280 345 0.000159925789012569
353792 345.5 0.000159925563620412
354304 346 0.00015992581316021
354816 346.5 0.000159926552182887
355328 347 0.000159927797350086
355840 347.5 0.000159929565297132
356352 348 0.000159931870885894
356864 348.5 0.000159934729389027
357376 349 0.000159938158683571
357888 349.5 0.000159942176583637
358400 350 0.000159946797114587
358912 350.5 0.000159952032232599
359424 351 0.000159957896336083
359936 351.5 0.000159964405604602
360448 352 0.000159971572380908
360960 352.5 0.000159979402861372
361472 353 0.00015998790114771
361984 353.5 0.000159997073377652
362496 354 0.000160006926617559
363008 354.5 0.000160017464907138
363520 355 0.000160028687137812
364032 355.5 0.000160040587933776
364544 356 0.000160053160421975
365056 356.5 0.00016006639892084
365568 357 0.000160080298231197
366080 357.5 0.000160094848833888
366592 358 0.000160110033956184
367104 358.5 0.000160125833881275
367616 359 0.000160142232038144
368128 359.5 0.000160159213178215
368640 360 0.000160176756015962
369152 360.5 0.00016019483240019
369664 361 0.000160213414824152
370176 361.5 0.000160232480074266
370688 362 0.000160252003182003
371200 362.5 0.000160271952194626
371712 363 0.000160292292673116
372224 363.5 0.000160312994405125
372736 364 0.000160334029452045
373248 364.5 0.000160355365397434
373760 365 0.000160376965366801
374272 365.5 0.000160398794850581
374784 366 0.000160420824367434
375296 366.5 0.000160443023933839
375808 367 0.000160465358052909
376320 367.5 0.000160487788811444
376832 368 0.000160510282779894
377344 368.5 0.000160532812750131
377856 369 0.00016055535321314
378368 369.5 0.000160577876563692
378880 370 0.00016060035468371
379392 370.5 0.000160622762449914
379904 371 0.000160645077792504
380416 371.5 0.000160667279253275
380928 372 0.000160689345920658
381440 372.5 0.000160711259826411
381952 373 0.000160733006175939
382464 373.5 0.000160754570801918
382976 374 0.000160775939451615
383488 374.5 0.000160797099936127
384000 375 0.00016081804256831
384512 375.5 0.000160838757614323
385024 376 0.000160859234392239
385536 376.5 0.00016087946365022
386048 377 0.000160899438787056
386560 377.5 0.000160919154075452
387072 378 0.000160938603898027
387584 378.5 0.000160957784663332
388096 379 0.000160976695726574
388608 379.5 0.000160995337949088
389120 380 0.000161013713115488
389632 380.5 0.000161031824865557
390144 381 0.000161049678353375
390656 381.5 0.000161067279459136
391168 382 0.000161084636718603
391680 382.5 0.000161101763258529
392192 383 0.000161118673631864
392704 383.5 0.000161135379216125
393216 384 0.000161151890419437
393728 384.5 0.000161168223373133
394240 385 0.000161184400302271
394752 385.5 0.000161200442294697
