# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
159232 155.5 0.00127114346476684
159744 156 0.00127087512056912
160256 156.5 0.00127060540474682
160768 157 0.0012703344458523
161280 157.5 0.0012700625516257
161792 158 0.00126979011109357
162304 158.5 0.00126951747917552
162816 159 0.00126924498621648
163328 159.5 0.00126897284341695
163840 160 0.00126870098829193
164352 160.5 0.00126842927237905
164864 161 0.0012681579180565
165376 161.5 0.00126788753331403
165888 162 0.00126761846745633
166400 162.5 0.00126735037697052
166912 163 0.00126708274061068
167424 163.5 0.00126681568251282
167936 164 0.00126654991884913
168448 164.5 0.00126628587741901
168960 165 0.0012660232365633
169472 165.5 0.00126576150054765
169984 166 0.00126550075176202
170496 166.5 0.00126524155837028
171008 167 0.00126498426888774
171520 167.5 0.00126472870302142
172032 168 0.00126447457098439
172544 168.5 0.00126422195371195
173056 169 0.00126397122153136
173568 169.5 0.0012637226110252
174080 170 0.00126347607515666
174592 170.5 0.00126323153308952
175104 171 0.00126298908747704
175616 171.5 0.00126274893018993
176128 172 0.00126251118043227
176640 172.5 0.00126227593984282
177152 173 0.00126204340177663
177664 173.5 0.00126181373633622
178176 174 0.00126158692266833
178688 174.5 0.00126136290141535
179200 175 0.00126114190735939
179712 175.5 0.00126092443212837
180224 176 0.00126071076019726
180736 176.5 0.00126050073321274
181248 177 0.00126029414084736
181760 177.5 0.00126009120865212
182272 178 0.00125989248188321
182784 178.5 0.00125969828354776
183296 179 0.0012595085179619
183808 179.5 0.00125932303220038
184320 180 0.0012591419529337
184832 180.5 0.001258965565075
185344 181 0.00125879402921577
185856 181.5 0.0012586273739001
186368 182 0.00125846565734216
186880 182.5 0.0012583089518364
187392 183 0.00125815720801254
187904 183.5 0.00125801031721978
188416 184 0.00125786832248555
188928 184.5 0.00125773140017405
189440 185 0.0012575995812462
189952 185.5 0.00125747264266278
190464 186 0.00125735035561055
190976 186.5 0.00125723270024523
191488 187 0.00125711972061212
192000 187.5 0.0012570112888311
192512 188 0.00125690716065718
193024 188.5 0.00125680718129953
193536 189 0.0012567112754737
194048 189.5 0.00125661927781768
194560 190 0.00125653093280328
195072 190.5 0.00125644605858293
195584 191 0.0012563645775314
196096 191.5 0.00125628637587997
196608 192 0.00125621125016442
197120 192.5 0.00125613901156789
197632 193 0.00125606954552068
198144 193.5 0.00125600275345336
198656 194 0.00125593853237973
199168 194.5 0.00125587683455082
199680 195 0.00125581765507885
200192 195.5 0.00125576093022657
200704 196 0.00125570653781247
201216 196.5 0.00125565444182104
201728 197 0.00125560475358901
202240 197.5 0.00125555759428369
202752 198 0.00125551297447518
203264 198.5 0.0012554708822022
203776 199 0.00125543142021512
204288 199.5 0.00125539475913447
204800 200 0.00125536100563778
205312 200.5 0.001255330239266
205824 201 0.00125530266122712
206336 201.5 0.00125527856111691
206848 202 0.00125525809833565
207360 202.5 0.00125524125828734
207872 203 0.00125522812187869
208384 203.5 0.00125521906382522
208896 204 0.00125521452867745
209408 204.5 0.00125521465882783
209920 205 0.00125521932019898
210432 205.5 0.00125522851636097
210944 206 0.00125524260385577
211456 206.5 0.00125526200237697
211968 207 0.0012552868207904
212480 207.5 0.00125531691046841
212992 208 0.00125535221479534
213504 208.5 0.00125539289935546
214016 209 0.00125543914111039
214528 209.5 0.00125549094569589
215040 210 0.00125554822537393
215552 210.5 0.00125561093220991
216064 211 0.00125567902486334
216576 211.5 0.00125575238847346
217088 212 0.0012558308930054
217600 212.5 0.0012559144840518
218112 213 0.00125600310904309
218624 213.5 0.00125609657591118
219136 214 0.00125619459731483
219648 214.5 0.00125629697895928
220160 215 0.00125640364860535
220672 215.5 0.00125651446532466
221184 216 0.00125662911913658
221696 216.5 0.00125674729704565
222208 217 0.00125686884756222
222720 217.5 0.00125699366455293
223232 218 0.00125712147815612
223744 218.5 0.00125725191409097
224256 219 0.00125738474981613
224768 219.5 0.00125751995691112
225280 220 0.00125765744630003
225792 220.5 0.00125779691048456
226304 221 0.00125793801302926
226816 221.5 0.00125808063744763
227328 222 0.00125822482342483
227840 222.5 0.00125837050167751
228352 223 0.00125851742824231
228864 223.5 0.00125866539527549
229376 224 0.00125881438660844
229888 224.5 0.00125896446022686
230400 225 0.00125911555920485
230912 225.5 0.00125926753386843
231424 226 0.00125942031685961
231936 226.5 0.00125957397345094
232448 227 0.00125972856270999
232960 227.5 0.00125988403227957
233472 228 0.0012600402993996
233984 228.5 0.00126019738445159
234496 229 0.00126035540107242
235008 229.5 0.00126051442826807
235520 230 0.00126067444570721
236032 230.5 0.00126083540645292
236544 231 0.00126099734087787
237056 231.5 0.00126116036530862
237568 232 0.00126132459282736
238080 232.5 0.00126149005042419
238592 233 0.00126165669633806
239104 233.5 0.00126182451958224
239616 234 0.00126199360075117
240128 234.5 0.00126216404910503
240640 235 0.00126233588945269
241152 235.5 0.00126250905057386
241664 236 0.0012626834744635
242176 236.5 0.00126285919326655
242688 237 0.00126303626463034
243200 237.5 0.00126321466298871
243712 238 0.00126339428582577
244224 238.5 0.00126357505539404
244736 239 0.00126375695355559
245248 239.5 0.00126393994129482
245760 240 0.00126412390061189
246272 240.5 0.0012643086960695
246784 241 0.00126449425319641
247296 241.5 0.00126468051957908
247808 242 0.00126486736787235
248320 242.5 0.00126505460285255
248832 243 0.00126524207115552
249344 243.5 0.00126542970140306
249856 244 0.00126561740488048
250368 244.5 0.00126580498672688
250880 245 0.00126599220614572
251392 245.5 0.00126617889695439
251904 246 0.00126636496980719
252416 246.5 0.00126655029754496
252928 247 0.00126673465346144
253440 247.5 0.00126691778391656
253952 248 0.00126709950428686
254464 248.5 0.00126727969340038
254976 249 0.00126745821524593
255488 249.5 0.0012676348792616
256000 250 0.00126780947335123
256512 250.5 0.00126798181184316
257024 251 0.00126815174933883
257536 251.5 0.00126831916403234
258048 252 0.00126848392958
258560 252.5 0.0012686458917535
259072 253 0.00126880487531919
259584 253.5 0.00126896072961308
260096 254 0.00126911336617493
260608 254.5 0.00126926273191356
261120 255 0.00126940874278111
261632 255.5 0.00126955126872596
262144 256 0.0012696901966222
262656 256.5 0.001269825484051
263168 257 0.00126995712707942
263680 257.5 0.00127008509102653
264192 258 0.00127020930419014
264704 258.5 0.00127032971609701
265216 259 0.00127044633088742
265728 259.5 0.0012705591758171
266240 260 0.00127066826130512
266752 260.5 0.00127077358453696
267264 261 0.00127087515466796
267776 261.5 0.00127097299980928
268288 262 0.00127106715888709
268800 262.5 0.00127115767646463
269312 263 0.00127124459629818
269824 263.5 0.00127132795074086
270336 264 0.00127140776380964
270848 264.5 0.001271484071544
271360 265 0.00127155693070309
271872 265.5 0.00127162639922954
272384 266 0.00127169251545496
272896 266.5 0.00127175530471176
273408 267 0.0012718147992173
273920 267.5 0.00127187104089221
274432 268 0.00127192406813111
274944 268.5 0.001271973909513
275456 269 0.00127202058918025
275968 269.5 0.00127206412939449
276480 270 0.00127210454658836
276992 270.5 0.0012721418522579
277504 271 0.00127217606202442
278016 271.5 0.00127220720144041
278528 272 0.00127223529910078
279040 272.5 0.00127226037163414
279552 273 0.00127228241663295
280064 273.5 0.00127230142819301
280576 274 0.00127231742608473
281088 274.5 0.00127233046171981
281600 275 0.00127234057920499
282112 275.5 0.00127234777694259
282624 276 0.00127235203275517
283136 276.5 0.00127235336619126
283648 277 0.00127235184241295
284160 277.5 0.00127234750130615
284672 278 0.00127234031809994
285184 278.5 0.00127233026300784
285696 279 0.0012723173708031
286208 279.5 0.00127230171118144
286720 280 0.00127228331182546
287232 280.5 0.00127226216434405
287744 281 0.00127223830219292
288256 281.5 0.00127221181526905
288768 282 0.0012721827736833
289280 282.5 0.00127215119175588
289792 283 0.00127211709719104
290304 283.5 0.00127208058856463
290816 284 0.00127204178006395
291328 284.5 0.00127200072312706
291840 285 0.00127195743555177
292352 285.5 0.00127191198913916
292864 286 0.00127186451049397
293376 286.5 0.00127181509590078
293888 287 0.00127176378118097
294400 287.5 0.00127171061139911
294912 288 0.00127165569133122
295424 288.5 0.00127159913549648
295936 289 0.00127154100284531
296448 289.5 0.0012714813210317
296960 290 0.00127142015739067
297472 290.5 0.0012713576236638
297984 291 0.0012712938115106
298496 291.5 0.00127122876008493
299008 292 0.00127116249880699
299520 292.5 0.00127109509488212
300032 293 0.00127102663963146
300544 293.5 0.00127095720328463
301056 294 0.00127088682271503
301568 294.5 0.00127081552766331
302080 295 0.00127074336216983
302592 295.5 0.0012706703788211
303104 296 0.00127059662286398
303616 296.5 0.00127052212689465
304128 297 0.00127044691697862
304640 297.5 0.00127037101918216
305152 298 0.00127029445835934
305664 298.5 0.00127021725256337
306176 299 0.00127013941490525
306688 299.5 0.00127006096441368
307200 300 0.00126998192820433
307712 300.5 0.00126990232466913
308224 301 0.00126982215029877
308736 301.5 0.00126974139635547
309248 302 0.00126966007732639
309760 302.5 0.0012695782275862
310272 303 0.00126949586592342
310784 303.5 0.00126941297896471
311296 304 0.00126932955066872
311808 304.5 0.00126924559715734
312320 305 0.00126916115726488
312832 305.5 0.00126907625390614
313344 306 0.00126899088293509
313856 306.5 0.00126890504442097
314368 307 0.00126881877037078
314880 307.5 0.00126873211127656
315392 308 0.00126864510458418
315904 308.5 0.0012685577706977
316416 309 0.00126847013819036
316928 309.5 0.00126838225902112
317440 310 0.00126829419450277
317952 310.5 0.00126820599702572
318464 311 0.00126811771412201
318976 311.5 0.00126802940417063
319488 312 0.0012679411368228
320000 312.5 0.00126785297756943
320512 313 0.00126776498149667
321024 313.5 0.00126767720768089
321536 314 0.00126758973375062
322048 314.5 0.00126750264728574
322560 315 0.00126741602331712
323072 315.5 0.00126732991982451
323584 316 0.00126724440024235
324096 316.5 0.00126715955220887
324608 317 0.00126707547376886
325120 317.5 0.00126699224412074
325632 318 0.00126690992003311
326144 318.5 0.00126682856280746
326656 319 0.00126674825604281
327168 319.5 0.00126666908851187
327680 320 0.00126659112784305
328192 320.5 0.00126651442208641
328704 321 0.00126643902334241
329216 321.5 0.00126636499735379
329728 322 0.00126629240756882
330240 322.5 0.00126622129969172
330752 323 0.0012661517079231
331264 323.5 0.00126608366976487
331776 324 0.00126601722570401
332288 324.5 0.00126595240561815
332800 325 0.00126588922402474
333312 325.5 0.00126582769155886
333824 326 0.00126576782473275
334336 326.5 0.00126570963905565
334848 327 0.00126565313616143
335360 327.5 0.00126559830410993
335872 328 0.00126554513001816
336384 328.5 0.00126549360723621
336896 329 0.00126544372897257
337408 329.5 0.00126539547945197
337920 330 0.00126534883481546
338432 330.5 0.00126530376998529
338944 331 0.00126526025924681
339456 331.5 0.00126521827097281
339968 332 0.001265177771179
340480 332.5 0.00126513873782143
340992 333 0.00126510116254389
341504 333.5 0.00126506502831096
342016 334 0.00126503029494233
342528 334.5 0.00126499692368207
343040 335 0.00126496490980751
343552 335.5 0.00126493426967382
344064 336 0.00126490499786537
344576 336.5 0.00126487706133171
345088 337 0.00126485043864738
345600 337.5 0.00126482514141721
346112 338 0.00126480119081802
346624 338.5 0.00126477859510018
347136 339 0.00126475735896956
347648 339.5 0.00126473749650982
348160 340 0.00126471902557175
348672 340.5 0.00126470196428679
349184 341 0.00126468634098196
