# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
111104 108.5 0.126367694030639
111616 109 0.126398474541396
112128 109.5 0.12642951017181
112640 110 0.126460819103842
113152 110.5 0.126492443201873
113664 111 0.126524407390931
114176 111.5 0.126556706058406
114688 112 0.126589285487915
115200 112.5 0.126622045906228
115712 113 0.126654908233963
116224 113.5 0.126687890850357
116736 114 0.126721079007148
117248 114.5 0.126754489291965
117760 115 0.126787990977113
118272 115.5 0.126821401120694
118784 116 0.126854650995341
119296 116.5 0.126887817919839
119808 117 0.126920979171451
120320 117.5 0.126954067491342
120832 118 0.126986902441834
121344 118.5 0.127019349968041
121856 119 0.12705141093991
122368 119.5 0.127083141125716
122880 120 0.127114517255925
123392 120.5 0.12714541899839
123904 121 0.127175737442412
124416 121.5 0.127205456889176
124928 122 0.127234599353239
125440 122.5 0.127263115619691
125952 123 0.127290888748371
126464 123.5 0.127317856375407
126976 124 0.127344070561257
127488 124.5 0.127369586207465
128000 125 0.127394325775982
128512 125.5 0.127418128608959
129024 126 0.127440934543596
129536 126.5 0.127462842079273
130048 127 0.12748394971466
130560 127.5 0.127504201185663
131072 128 0.12752344749597
131584 128.5 0.127541625699529
132096 129 0.12755880409857
132608 129.5 0.127575057345697
133120 130 0.127590367702642
133632 130.5 0.127604670376092
134144 131 0.127617937996395
134656 131.5 0.127630178057646
135168 132 0.127641383583471
135680 132.5 0.127651539752524
136192 133 0.12766066866991
136704 133.5 0.127668815634759
137216 134 0.127675977725186
137728 134.5 0.127682084878355
138240 135 0.127687080830566
138752 135.5 0.127691003448882
139264 136 0.127693950733817
139776 136.5 0.127695965956851
140288 137 0.127696984640799
140800 137.5 0.127696912373504
141312 138 0.127695740372898
141824 138.5 0.127693558861653
142336 139 0.127690453741886
142848 139.5 0.127686414170416
143360 140 0.127681361384574
143872 140.5 0.127675255311626
144384 141 0.12766814220472
144896 141.5 0.127660092545863
145408 142 0.12765112370883
145920 142.5 0.127641208506113
146432 143 0.127630339289528
146944 143.5 0.127618544575496
147456 144 0.127605843765592
147968 144.5 0.127592228383269
148480 145 0.127577709358145
148992 145.5 0.127562348661809
149504 146 0.127546204506813
150016 146.5 0.127529261761054
150528 147 0.127511464805358
151040 147.5 0.127492823884978
151552 148 0.127473441928484
152064 148.5 0.127453410858749
152576 149 0.127432718267315
153088 149.5 0.127411298897722
153600 150 0.127389161175051
154112 150.5 0.127366413126303
154624 151 0.127343156775473
155136 151.5 0.127319402316843
155648 152 0.127295115046708
156160 152.5 0.127270317405844
156672 153 0.127245102289476
157184 153.5 0.127219551633737
157696 154 0.127193683789775
158208 154.5 0.127167495755239
158720 155 0.127141025749581
159232 155.5 0.127114346476684
159744 156 0.127087512056911
160256 156.5 0.127060540474682
160768 157 0.12703344458523
161280 157.5 0.12700625516257
161792 158 0.126979011109357
162304 158.5 0.126951747917551
162816 159 0.126924498621648
163328 159.5 0.126897284341694
163840 160 0.126870098829193
164352 160.5 0.126842927237905
164864 161 0.12681579180565
165376 161.5 0.126788753331403
165888 162 0.126761846745632
166400 162.5 0.126735037697052
166912 163 0.126708274061068
167424 163.5 0.126681568251282
167936 164 0.126654991884913
168448 164.5 0.126628587741901
168960 165 0.12660232365633
169472 165.5 0.126576150054765
169984 166 0.126550075176202
170496 166.5 0.126524155837028
171008 167 0.126498426888774
171520 167.5 0.126472870302141
172032 168 0.126447457098439
172544 168.5 0.126422195371195
173056 169 0.126397122153136
173568 169.5 0.12637226110252
174080 170 0.126347607515666
174592 170.5 0.126323153308951
175104 171 0.126298908747704
175616 171.5 0.126274893018993
176128 172 0.126251118043227
176640 172.5 0.126227593984282
177152 173 0.126204340177663
177664 173.5 0.126181373633622
178176 174 0.126158692266832
178688 174.5 0.126136290141535
179200 175 0.126114190735938
179712 175.5 0.126092443212837
180224 176 0.126071076019726
180736 176.5 0.126050073321273
181248 177 0.126029414084736
181760 177.5 0.126009120865212
182272 178 0.125989248188321
182784 178.5 0.125969828354776
183296 179 0.12595085179619
183808 179.5 0.125932303220038
184320 180 0.12591419529337
184832 180.5 0.1258965565075
185344 181 0.125879402921576
185856 181.5 0.12586273739001
186368 182 0.125846565734215
186880 182.5 0.12583089518364
187392 183 0.125815720801254
187904 183.5 0.125801031721978
188416 184 0.125786832248555
188928 184.5 0.125773140017405
189440 185 0.12575995812462
189952 185.5 0.125747264266278
190464 186 0.125735035561055
190976 186.5 0.125723270024523
191488 187 0.125711972061212
192000 187.5 0.12570112888311
192512 188 0.125690716065718
193024 188.5 0.125680718129953
193536 189 0.12567112754737
194048 189.5 0.125661927781768
194560 190 0.125653093280328
195072 190.5 0.125644605858293
195584 191 0.12563645775314
196096 191.5 0.125628637587997
196608 192 0.125621125016442
197120 192.5 0.125613901156789
197632 193 0.125606954552068
198144 193.5 0.125600275345336
198656 194 0.125593853237973
199168 194.5 0.125587683455082
199680 195 0.125581765507885
200192 195.5 0.125576093022657
200704 196 0.125570653781247
201216 196.5 0.125565444182104
201728 197 0.1255604753589
202240 197.5 0.125555759428369
202752 198 0.125551297447518
203264 198.5 0.12554708822022
203776 199 0.125543142021512
204288 199.5 0.125539475913447
204800 200 0.125536100563778
205312 200.5 0.125533023926599
205824 201 0.125530266122711
206336 201.5 0.125527856111691
206848 202 0.125525809833565
207360 202.5 0.125524125828734
207872 203 0.125522812187869
208384 203.5 0.125521906382522
208896 204 0.125521452867745
209408 204.5 0.125521465882783
209920 205 0.125521932019898
210432 205.5 0.125522851636097
210944 206 0.125524260385576
211456 206.5 0.125526200237697
211968 207 0.12552868207904
212480 207.5 0.125531691046841
212992 208 0.125535221479534
213504 208.5 0.125539289935546
214016 209 0.125543914111039
214528 209.5 0.125549094569589
215040 210 0.125554822537393
215552 210.5 0.125561093220991
216064 211 0.125567902486334
216576 211.5 0.125575238847346
217088 212 0.12558308930054
217600 212.5 0.12559144840518
218112 213 0.125600310904309
218624 213.5 0.125609657591118
219136 214 0.125619459731483
219648 214.5 0.125629697895928
220160 215 0.125640364860534
220672 215.5 0.125651446532466
221184 216 0.125662911913658
221696 216.5 0.125674729704565
222208 217 0.125686884756222
222720 217.5 0.125699366455293
223232 218 0.125712147815611
223744 218.5 0.125725191409097
224256 219 0.125738474981613
224768 219.5 0.125751995691112
225280 220 0.125765744630003
225792 220.5 0.125779691048456
226304 221 0.125793801302926
226816 221.5 0.125808063744763
227328 222 0.125822482342483
227840 222.5 0.12583705016775
228352 223 0.125851742824231
228864 223.5 0.125866539527549
229376 224 0.125881438660843
229888 224.5 0.125896446022686
230400 225 0.125911555920485
230912 225.5 0.125926753386843
231424 226 0.125942031685961
231936 226.5 0.125957397345094
232448 227 0.125972856270998
