# Scalar ASCII output created by CarpetIOScalar
# created on leftraru3.nlhpc.cl by tandrade on Oct 20 2023 at 19:31:58-0300
# parameter filename: "/home/tandrade/simulations/tov_ET/output-0000/tov_ET.par"
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063202
512 0.5 0.00369854111803551
1024 1 0.00369024990113209
1536 1.5 0.00368250492819813
2048 2 0.00367524710059188
2560 2.5 0.00366850866977359
3072 3 0.00366234547746093
3584 3.5 0.00365722353070063
4096 4 0.00365304610582167
4608 4.5 0.00364984649857351
5120 5 0.0036476305167592
5632 5.5 0.00364637188663477
6144 6 0.00364601637560552
6656 6.5 0.00364648961482724
7168 7 0.00364770743088364
7680 7.5 0.00364958478043582
8192 8 0.00365203674786851
8704 8.5 0.00365496774907905
9216 9 0.00365825640104464
9728 9.5 0.00366175458213287
10240 10 0.00366531291220161
10752 10.5 0.00366881905064593
11264 11 0.00367221514841486
11776 11.5 0.00367547638567621
12288 12 0.00367857326592284
12800 12.5 0.00368145509368351
13312 13 0.00368406656981325
13824 13.5 0.00368637559041772
14336 14 0.00368837828506876
14848 14.5 0.00369008068345436
15360 15 0.00369148351949311
15872 15.5 0.00369258727588074
16384 16 0.00369340533642765
16896 16.5 0.00369396404504086
17408 17 0.003694289273796
17920 17.5 0.00369439820877486
18432 18 0.00369430606942703
18944 18.5 0.00369403607164877
19456 19 0.00369361873983774
19968 19.5 0.00369308383911088
20480 20 0.00369245730827944
20992 20.5 0.00369176552353797
21504 21 0.00369103797035215
22016 21.5 0.00369030233131654
22528 22 0.00368957572880969
23040 22.5 0.0036888589844599
23552 23 0.00368813654474115
24064 23.5 0.00368738039200936
24576 24 0.00368655561990927
25088 24.5 0.00368562745184297
25600 25 0.00368457059830896
26112 25.5 0.0036833783241138
26624 26 0.00368206338445829
27136 26.5 0.00368064541953078
27648 27 0.00367913186564015
28160 27.5 0.00367750852566995
28672 28 0.00367574833759214
29184 28.5 0.00367382941452342
29696 29 0.00367174610959082
30208 29.5 0.00366950644790096
30720 30 0.00366712200304047
31232 30.5 0.00366459968491763
31744 31 0.00366194054215774
32256 31.5 0.00365914557032805
32768 32 0.00365622416579204
33280 32.5 0.00365319762950171
33792 33 0.00365009279645485
34304 33.5 0.003646930393476
34816 34 0.00364371956257133
35328 34.5 0.00364046459296749
35840 35 0.00363717731376297
36352 35.5 0.00363388232406217
36864 36 0.00363060945580238
37376 36.5 0.00362738076060043
37888 37 0.00362420519560998
38400 37.5 0.00362108598026382
38912 38 0.00361803244685351
39424 38.5 0.00361506472685345
39936 39 0.00361220539352989
40448 39.5 0.00360946650969498
40960 40 0.00360684621113067
41472 40.5 0.00360433907578775
41984 41 0.00360194901649865
42496 41.5 0.00359969014634331
43008 42 0.00359757475801473
43520 42.5 0.0035956027770866
44032 43 0.00359376541895063
44544 43.5 0.00359205847962996
45056 44 0.00359048861924482
45568 44.5 0.00358906494525319
46080 45 0.00358778735117945
46592 45.5 0.00358664671408263
47104 46 0.00358563625564789
47616 46.5 0.0035847582118645
48128 47 0.00358401672237046
48640 47.5 0.00358340722163884
49152 48 0.00358291725934171
49664 48.5 0.00358253750115132
50176 49 0.00358226765692536
50688 49.5 0.00358210948283753
51200 50 0.00358205681760844
51712 50.5 0.00358209619038208
52224 51 0.00358221682191058
52736 51.5 0.00358241656764792
53248 52 0.00358269657262362
53760 52.5 0.00358305246473564
54272 53 0.00358347357930526
54784 53.5 0.00358395036457406
55296 54 0.00358447985974118
55808 54.5 0.00358506287551672
56320 55 0.0035856977218595
56832 55.5 0.00358637867919459
57344 56 0.0035870997123815
57856 56.5 0.0035878570340802
58368 57 0.00358864732064334
58880 57.5 0.00358946568184241
59392 58 0.00359030746415196
59904 58.5 0.00359117116482307
60416 59 0.00359205738654998
60928 59.5 0.00359296487667255
61440 60 0.00359388952126368
61952 60.5 0.00359482770858712
62464 61 0.00359577856707445
62976 61.5 0.00359674127994326
63488 62 0.00359771155651377
64000 62.5 0.00359868306220754
64512 63 0.00359965235157637
65024 63.5 0.00360062071163076
65536 64 0.00360159089412752
66048 64.5 0.00360256358173221
66560 65 0.00360353737530454
67072 65.5 0.00360450991853735
67584 66 0.00360547686591975
68096 66.5 0.00360643068908614
68608 67 0.00360736332328937
69120 67.5 0.00360827135179721
69632 68 0.00360915786645785
70144 68.5 0.00361002856767671
70656 69 0.00361088629112932
71168 69.5 0.0036117290228314
71680 70 0.00361255174811372
72192 70.5 0.00361334942685395
72704 71 0.00361411949856027
73216 71.5 0.00361486344368611
73728 72 0.00361558612747813
74240 72.5 0.00361629222089415
74752 73 0.00361698222320025
75264 73.5 0.00361765216712526
75776 74 0.00361829773825629
76288 74.5 0.00361891882665921
76800 75 0.00361952006128803
77312 75.5 0.00362010694651088
77824 76 0.0036206813127495
78336 76.5 0.00362124033241472
78848 77 0.00362178021433075
79360 77.5 0.00362230118744606
79872 78 0.00362280841759643
80384 78.5 0.00362330718483793
80896 79 0.00362379742094426
81408 79.5 0.00362427449146652
81920 80 0.00362473603032359
82432 80.5 0.00362518652659469
82944 81 0.00362563336478397
83456 81.5 0.00362607884667648
83968 82 0.00362651843653926
84480 82.5 0.00362694780445403
84992 83 0.0036273697579321
85504 83.5 0.00362779208126392
86016 84 0.00362821896687787
86528 84.5 0.00362864690484974
87040 85 0.00362907009945349
87552 85.5 0.00362948848766469
88064 86 0.00362990854512328
88576 86.5 0.00363033633962721
89088 87 0.0036307715797705
89600 87.5 0.0036312095408937
90112 88 0.00363164792079129
90624 88.5 0.00363209020537649
91136 89 0.00363254197969864
91648 89.5 0.00363300513359151
92160 90 0.00363347685290046
92672 90.5 0.00363395404458684
93184 91 0.00363443746368787
93696 91.5 0.00363493078390094
94208 92 0.00363543631845229
94720 92.5 0.00363595278216883
95232 93 0.00363647731106091
95744 93.5 0.00363700869584975
96256 94 0.00363754809204786
96768 94.5 0.00363809720150728
97280 95 0.00363865652832504
97792 95.5 0.00363922516033484
98304 96 0.00363980151746411
98816 96.5 0.00364038434582938
99328 97 0.00364097365879282
99840 97.5 0.00364157080052482
100352 98 0.00364217693018985
100864 98.5 0.00364279124939764
101376 99 0.00364341146819325
101888 99.5 0.00364403652051926
102400 100 0.00364466816997648
102912 100.5 0.003645309087515
103424 101 0.0036459596326079
103936 101.5 0.00364661751676506
104448 102 0.00364728080518181
104960 102.5 0.00364795037520004
105472 103 0.00364862885108545
105984 103.5 0.00364931763167771
106496 104 0.00365001568071367
107008 104.5 0.00365072112771756
107520 105 0.00365143345259813
108032 105.5 0.00365215397118903
108544 106 0.00365288461040454
109056 106.5 0.00365362646020588
109568 107 0.00365437927067902
110080 107.5 0.00365514202207155
110592 108 0.00365591391519979
111104 108.5 0.0036566949107174
111616 109 0.00365748543629573
112128 109.5 0.00365828572872061
112640 110 0.00365909552776736
113152 110.5 0.00365991422283057
113664 111 0.00366074107935328
114176 111.5 0.00366157543935637
114688 112 0.00366241698381703
115200 112.5 0.00366326571532307
115712 113 0.00366412126579296
116224 113.5 0.00366498213387038
116736 114 0.00366584607229199
117248 114.5 0.00366671158754742
117760 115 0.00366757876239368
118272 115.5 0.00366844808942939
118784 116 0.00366931852785299
119296 116.5 0.0036701872099904
119808 117 0.00367105126082621
120320 117.5 0.00367190951571274
120832 118 0.00367276207866327
121344 118.5 0.00367360843456978
121856 119 0.00367444655797218
122368 119.5 0.00367527399310527
122880 120 0.00367608930341458
123392 120.5 0.00367689198563745
123904 121 0.00367768113277338
124416 121.5 0.00367845478116045
124928 122 0.00367921084595013
125440 122.5 0.00367994833995018
125952 123 0.00368066719258359
126464 123.5 0.00368136691009362
126976 124 0.00368204590553482
127488 124.5 0.00368270241625919
128000 125 0.00368333575857438
128512 125.5 0.00368394620725157
129024 126 0.00368453366774954
129536 126.5 0.00368509694496839
130048 127 0.00368563456365018
130560 127.5 0.0036861459832246
131072 128 0.00368663160572272
131584 128.5 0.00368709169820864
132096 129 0.00368752572795442
132608 129.5 0.00368793283474144
133120 130 0.00368831259052223
133632 130.5 0.00368866505806182
134144 131 0.00368899032645347
134656 131.5 0.00368928827795495
135168 132 0.00368955871196049
135680 132.5 0.00368980139877397
136192 133 0.00369001599965275
136704 133.5 0.00369020222819885
137216 134 0.00369036024463642
137728 134.5 0.00369049068482375
138240 135 0.00369059403742527
138752 135.5 0.00369067002879999
139264 136 0.00369071787479403
139776 136.5 0.00369073724128157
140288 137 0.00369072877676919
140800 137.5 0.00369069350040636
141312 138 0.00369063172846103
141824 138.5 0.00369054283736876
142336 139 0.00369042615297554
142848 139.5 0.00369028186786891
143360 140 0.00369011089554354
143872 140.5 0.00368991394689915
144384 141 0.0036896910369569
144896 141.5 0.00368944192447603
145408 142 0.00368916672418246
145920 142.5 0.00368886587732884
146432 143 0.00368853974684005
146944 143.5 0.00368818859638532
147456 144 0.00368781293066841
147968 144.5 0.00368741346463725
148480 145 0.0036869906105408
148992 145.5 0.00368654434846359
149504 146 0.00368607491320025
150016 146.5 0.00368558338317581
150528 147 0.00368507114187579
151040 147.5 0.00368453876035833
151552 148 0.00368398587881973
152064 148.5 0.0036834124253243
152576 149 0.0036828196046506
153088 149.5 0.00368220928808395
153600 150 0.00368158260681556
154112 150.5 0.00368093964907603
154624 151 0.0036802806104948
155136 151.5 0.00367960676369195
155648 152 0.00367891997820077
156160 152.5 0.00367822158553614
156672 153 0.00367751216094005
157184 153.5 0.00367679235359957
157696 154 0.00367606348757519
158208 154.5 0.00367532718464528
158720 155 0.00367458467636176
159232 155.5 0.00367383670758857
159744 156 0.00367308396336556
160256 156.5 0.00367232737572431
160768 157 0.00367156807771353
161280 157.5 0.00367080721624611
161792 158 0.00367004574118636
162304 158.5 0.00366928421047696
162816 159 0.00366852285980017
163328 159.5 0.00366776204742305
163840 160 0.00366700257140995
164352 160.5 0.00366624529303761
164864 161 0.00366549044426114
165376 161.5 0.00366473763918797
165888 162 0.00366398673998534
166400 162.5 0.00366323842941424
166912 163 0.00366249362335873
167424 163.5 0.00366175248389581
167936 164 0.00366101441008254
168448 164.5 0.00366027902871598
168960 165 0.00365954682972586
169472 165.5 0.00365881865026762
169984 166 0.00365809481126384
170496 166.5 0.00365737505670949
171008 167 0.00365665922190142
171520 167.5 0.00365594763774061
172032 168 0.00365524083036627
172544 168.5 0.00365453907170218
173056 169 0.00365384237059694
173568 169.5 0.0036531507722204
174080 170 0.00365246451432119
174592 170.5 0.0036517839523008
175104 171 0.00365110946841365
175616 171.5 0.00365044142705983
176128 172 0.00364978008155186
176640 172.5 0.00364912551722026
177152 173 0.00364847783233772
177664 173.5 0.00364783744019125
178176 174 0.00364720506472761
178688 174.5 0.00364658131824473
179200 175 0.0036459663705901
179712 175.5 0.00364536019692424
180224 176 0.00364476312182896
180736 176.5 0.00364417592854371
181248 177 0.00364359937601235
181760 177.5 0.00364303377492961
182272 178 0.00364247915757612
182784 178.5 0.00364193573777437
183296 179 0.00364140402959761
183808 179.5 0.00364088456504158
184320 180 0.00364037767662474
184832 180.5 0.00363988357027737
185344 181 0.00363940244449902
185856 181.5 0.00363893446863216
186368 182 0.00363847976538684
186880 182.5 0.00363803849322394
187392 183 0.00363761084083497
187904 183.5 0.00363719684457634
188416 184 0.00363679630135454
188928 184.5 0.00363640898281449
189440 185 0.00363603487609477
189952 185.5 0.00363567407647399
190464 186 0.00363532646855032
190976 186.5 0.00363499165383073
191488 187 0.00363466919484554
192000 187.5 0.00363435877827973
192512 188 0.00363406008314229
193024 188.5 0.00363377262991557
193536 189 0.00363349587829833
194048 189.5 0.00363322940077024
194560 190 0.0036329728448985
195072 190.5 0.00363272576324447
195584 191 0.0036324875899787
196096 191.5 0.00363225777638222
196608 192 0.00363203586609127
197120 192.5 0.00363182145966381
197632 193 0.00363161421302226
198144 193.5 0.00363141388005306
198656 194 0.00363122026055933
199168 194.5 0.00363103308912881
199680 195 0.00363085207273085
200192 195.5 0.00363067706987755
200704 196 0.00363050813759914
201216 196.5 0.00363034535629209
201728 197 0.00363018870667735
202240 197.5 0.00363003819382351
202752 198 0.00362989400857231
203264 198.5 0.00362975646858313
203776 199 0.00362962585920082
204288 199.5 0.00362950244093159
204800 200 0.00362938657017696
205312 200.5 0.00362927867898806
205824 201 0.00362917914111828
206336 201.5 0.00362908830295192
206848 202 0.00362900668786622
207360 202.5 0.00362893502354167
207872 203 0.00362887395597156
208384 203.5 0.00362882383063697
208896 204 0.00362878489676855
209408 204.5 0.0036287576812165
209920 205 0.00362874299199396
210432 205.5 0.00362874151592835
210944 206 0.00362875354738683
211456 206.5 0.00362877919291741
211968 207 0.00362881873705863
212480 207.5 0.0036288726746606
212992 208 0.00362894141146992
213504 208.5 0.00362902505306814
214016 209 0.00362912350777817
214528 209.5 0.00362923670226805
215040 210 0.00362936464603314
215552 210.5 0.0036295073436017
216064 211 0.00362966470108521
216576 211.5 0.00362983649112028
217088 212 0.00363002236533893
217600 212.5 0.00363022192030867
218112 213 0.00363043478489706
218624 213.5 0.00363066062290436
219136 214 0.00363089902487461
219648 214.5 0.00363114943697976
220160 215 0.00363141125224211
220672 215.5 0.00363168394593241
221184 216 0.00363196704404945
221696 216.5 0.00363225995586343
222208 217 0.00363256192351442
222720 217.5 0.00363287218305916
223232 218 0.0036331901201914
223744 218.5 0.00363351521842127
224256 219 0.00363384691226596
224768 219.5 0.00363418458433339
225280 220 0.00363452770027378
225792 220.5 0.00363487585560516
226304 221 0.00363522865328395
226816 221.5 0.00363558560108317
227328 222 0.00363594619001379
227840 222.5 0.0036363100428981
228352 223 0.00363667692809386
228864 223.5 0.00363704664262161
229376 224 0.00363741894690677
229888 224.5 0.00363779362905346
230400 225 0.00363817057910069
230912 225.5 0.00363854975607829
231424 226 0.00363893109824309
231936 226.5 0.00363931450381855
232448 227 0.0036396999055264
232960 227.5 0.00364008733684677
233472 228 0.00364047690217716
233984 228.5 0.0036408686868809
234496 229 0.0036412627193396
235008 229.5 0.00364165903178025
235520 230 0.00364205773775135
236032 230.5 0.00364245901627395
236544 231 0.00364286301403581
237056 231.5 0.00364326979660767
237568 232 0.00364367942676827
238080 232.5 0.00364409207278812
238592 233 0.00364450798774584
239104 233.5 0.00364492736137274
239616 234 0.00364535022854634
240128 234.5 0.00364577655906702
240640 235 0.0036462064075293
241152 235.5 0.00364663991095304
241664 236 0.00364707713445576
242176 236.5 0.00364751798787092
242688 237 0.00364796233626403
243200 237.5 0.0036484101413583
243712 238 0.00364886142478555
244224 238.5 0.00364931610940855
244736 239 0.00364977396908889
245248 239.5 0.0036502347408971
245760 240 0.00365069821128462
246272 240.5 0.00365116415437739
246784 241 0.00365163225195743
247296 241.5 0.00365210214849448
247808 242 0.00365257355821876
248320 242.5 0.00365304623929829
248832 243 0.00365351985880958
249344 243.5 0.00365399395722711
249856 244 0.00365446807554156
250368 244.5 0.00365494185349397
250880 245 0.00365541494798645
251392 245.5 0.00365588689874433
251904 246 0.00365635715080859
252416 246.5 0.00365682520185929
252928 247 0.00365729064962405
253440 247.5 0.00365775306257242
253952 248 0.0036582118580445
254464 248.5 0.00365866636415739
254976 249 0.00365911599551056
255488 249.5 0.00365956034206157
256000 250 0.00365999909867977
256512 250.5 0.00366043193507118
257024 251 0.00366085842181953
257536 251.5 0.0036612780455863
258048 252 0.00366169029062423
258560 252.5 0.00366209473340394
259072 253 0.00366249107094835
259584 253.5 0.00366287904711698
260096 254 0.00366325835984362
260608 254.5 0.00366362867105613
261120 255 0.0036639897069393
261632 255.5 0.00366434130176807
262144 256 0.00366468331539206
262656 256.5 0.00366501554474026
263168 257 0.00366533776478049
263680 257.5 0.00366564984257171
264192 258 0.00366595175893441
264704 258.5 0.00366624351069087
265216 259 0.00366652503811265
265728 259.5 0.00366679627276477
266240 260 0.00366705722229308
266752 260.5 0.00366730797275442
267264 261 0.00366754862467647
267776 261.5 0.00366777926194701
268288 262 0.00366799997641987
268800 262.5 0.00366821088420808
269312 263 0.00366841210372285
269824 263.5 0.00366860373806848
270336 264 0.00366878589014986
270848 264.5 0.00366895867788684
271360 265 0.00366912222060448
271872 265.5 0.00366927662279236
272384 266 0.00366942198814425
272896 266.5 0.00366955844495834
273408 267 0.0036696861412342
273920 267.5 0.00366980520985692
274432 268 0.00366991574487108
274944 268.5 0.00367001781183468
275456 269 0.0036701114709391
275968 269.5 0.00367019678350191
276480 270 0.00367027380351159
276992 270.5 0.00367034257591557
277504 271 0.00367040314657297
278016 271.5 0.00367045556743167
278528 272 0.00367049988963108
279040 272.5 0.00367053615814409
279552 273 0.00367056441562424
280064 273.5 0.00367058470214702
280576 274 0.00367059704638015
281088 274.5 0.00367060147358714
281600 275 0.00367059803552738
282112 275.5 0.00367058682522607
282624 276 0.00367056794383924
283136 276.5 0.00367054144737954
283648 277 0.00367050733925431
284160 277.5 0.00367046561687549
284672 278 0.00367041630517643
285184 278.5 0.00367035943768295
285696 279 0.00367029503595767
286208 279.5 0.00367022314043001
286720 280 0.00367014385169432
287232 280.5 0.00367005731149599
287744 281 0.00366996364687487
288256 281.5 0.00366986296466747
288768 282 0.00366975540290196
289280 282.5 0.00366964114986266
289792 283 0.00366952039356092
290304 283.5 0.00366939328139507
290816 284 0.00366925995590786
291328 284.5 0.00366912060858062
291840 285 0.00366897546550889
292352 285.5 0.00366882473225497
292864 286 0.00366866858934178
293376 286.5 0.00366850724019896
293888 287 0.00366834092463445
294400 287.5 0.00366816987173323
294912 288 0.00366799426967806
295424 288.5 0.00366781430057572
295936 289 0.00366763017822504
296448 289.5 0.00366744212236347
296960 290 0.00366725031029935
297472 290.5 0.00366705488710942
297984 291 0.00366685602375722
298496 291.5 0.00366665393687245
299008 292 0.00366644884060009
299520 292.5 0.00366624089785417
300032 293 0.00366603023291952
300544 293.5 0.00366581697970977
301056 294 0.00366560130020473
301568 294.5 0.00366538335771439
302080 295 0.00366516328578772
302592 295.5 0.00366494118530591
303104 296 0.00366471713952011
303616 296.5 0.00366449122339356
304128 297 0.00366426350532185
304640 297.5 0.00366403405273629
305152 298 0.00366380293853804
305664 298.5 0.00366357023231242
306176 299 0.00366333597773823
306688 299.5 0.00366310018472713
307200 300 0.00366286285608193
307712 300.5 0.00366262402392316
308224 301 0.00366238374999686
308736 301.5 0.00366214208529445
309248 302 0.00366189903945113
309760 302.5 0.00366165459991851
310272 303 0.00366140877328619
310784 303.5 0.00366116159173518
311296 304 0.00366091308063344
311808 304.5 0.00366066324014656
312320 305 0.00366041206955466
312832 305.5 0.00366015959738955
313344 306 0.00365990587476948
313856 306.5 0.0036596509478918
314368 307 0.0036593948549828
314880 307.5 0.00365913765230338
315392 308 0.0036588794314907
315904 308.5 0.00365862030786332
