# Scalar ASCII output created by CarpetIOScalar
# created on cn127.nlhpc.cl by student32 on Nov 13 2023 at 23:38:57-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET_dx1/output-0000/tov_ET_dx1.par"
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
150528 73.5 0.000162423968450381
151040 73.75 0.000162426256553744
151552 74 0.000162428115980649
152064 74.25 0.000162429438380816
152576 74.5 0.000162430149923065
153088 74.75 0.000162430301655908
153600 75 0.000162430037120262
154112 75.25 0.000162429459212664
154624 75.5 0.000162428547451262
155136 75.75 0.000162427213609767
155648 76 0.000162425419567761
156160 76.25 0.000162423222927112
156672 76.5 0.000162420713188331
157184 76.75 0.000162417923623845
157696 77 0.000162414818716701
158208 77.25 0.000162411361503646
158720 77.5 0.000162407572075072
159232 77.75 0.000162403505059461
159744 78 0.000162399179589956
160256 78.25 0.000162394557257075
160768 78.5 0.000162389602387676
161280 78.75 0.000162384354790013
161792 79 0.000162378927978914
162304 79.25 0.000162373427270223
162816 79.5 0.00016236786251637
163328 79.75 0.000162362135564836
163840 80 0.000162356121679191
164352 80.25 0.000162349784940545
164864 80.5 0.000162343226783446
165376 80.75 0.000162336613268925
165888 81 0.000162330040173168
166400 81.25 0.000162323464369211
166912 81.5 0.00016231676760565
167424 81.75 0.000162309883877374
167936 82 0.000162302862051344
168448 82.25 0.000162295810722422
168960 82.5 0.000162288792623273
169472 82.75 0.000162281777469576
169984 83 0.000162274694371009
170496 83.25 0.000162267522167929
171008 83.5 0.000162260319917585
171520 83.75 0.00016225316772045
172032 84 0.000162246089655596
172544 84.25 0.000162239048829798
173056 84.5 0.000162232012946679
173568 84.75 0.000162225000738629
174080 85 0.000162218051259733
174592 85.25 0.000162211166993066
175104 85.5 0.000162204317224042
175616 85.75 0.000162197500926085
176128 86 0.000162190781592061
176640 86.25 0.000162184240477289
177152 86.5 0.000162177900668335
177664 86.75 0.000162171711123675
178176 87 0.000162165607849014
178688 87.25 0.000162159585289106
179200 87.5 0.000162153706945002
179712 87.75 0.00016214804924107
180224 88 0.000162142635777333
180736 88.25 0.000162137426899339
181248 88.5 0.000162132375062399
181760 88.75 0.000162127485667556
182272 89 0.000162122813371842
182784 89.25 0.000162118399730962
183296 89.5 0.000162114232282025
183808 89.75 0.000162110276042478
184320 90 0.000162106531398721
184832 90.25 0.000162103043226278
185344 90.5 0.000162099859969824
185856 90.75 0.000162097000986881
186368 91 0.000162094456159611
186880 91.25 0.000162092192173387
187392 91.5 0.000162090161187018
187904 91.75 0.000162088339020805
188416 92 0.000162086773243284
188928 92.25 0.000162085565327395
189440 92.5 0.000162084772609881
189952 92.75 0.000162084340386244
190464 93 0.000162084167349242
190976 93.25 0.000162084239018386
191488 93.5 0.00016208465651964
192000 93.75 0.000162085510572443
192512 94 0.000162086756450444
193024 94.25 0.000162088257481898
193536 94.5 0.000162089954593846
194048 94.75 0.000162091954677682
194560 95 0.000162094423032407
195072 95.25 0.000162097400286231
195584 95.5 0.000162100754502905
196096 95.75 0.000162104322563321
196608 96 0.000162108083316308
197120 96.25 0.000162112178004175
197632 96.5 0.000162116764819715
198144 96.75 0.00016212186464098
198656 97 0.000162127350592728
199168 97.25 0.00016213307966183
199680 97.5 0.000162139027403876
200192 97.75 0.00016214529660371
200704 98 0.000162152004530391
201216 98.25 0.000162159171751175
201728 98.5 0.000162166721745051
202240 98.75 0.000162174576129616
202752 99 0.000162182732249412
203264 99.25 0.000162191242653543
203776 99.5 0.00016220013455919
204288 99.75 0.000162209371643397
204800 100 0.000162218901168045
205312 100.25 0.000162228724999078
