# Scalar ASCII output created by CarpetIOScalar
# created on cn127.nlhpc.cl by student32 on Nov 13 2023 at 23:38:57-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET_dx1/output-0000/tov_ET_dx1.par"
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
128000 62.5 0.00127164643362575
128512 62.75 0.00127176914601694
129024 63 0.00127188901617806
129536 63.25 0.00127200575461981
130048 63.5 0.00127211960642466
130560 63.75 0.00127223126834151
131072 64 0.00127234119633256
131584 64.25 0.00127244924494987
132096 64.5 0.00127255499311968
132608 64.75 0.00127265811496545
133120 65 0.0012727583387223
133632 65.25 0.00127285536419046
134144 65.5 0.0012729490426872
134656 65.75 0.00127303942616482
135168 66 0.00127312642960276
135680 66.25 0.00127320966292026
136192 66.5 0.00127328889752816
136704 66.75 0.00127336458444341
137216 67 0.00127343759303873
137728 67.25 0.0012735084325256
138240 67.5 0.00127357696063916
138752 67.75 0.00127364284383208
139264 68 0.00127370602622122
139776 68.25 0.00127376665395067
140288 68.5 0.00127382476229229
140800 68.75 0.0012738802080787
141312 69 0.00127393280886185
141824 69.25 0.0012739824219422
142336 69.5 0.00127402898203906
142848 69.75 0.00127407263788263
143360 70 0.00127411383990287
143872 70.25 0.0012741531013445
144384 70.5 0.00127419054525293
144896 70.75 0.0012742257597955
145408 71 0.00127425824180448
145920 71.25 0.0012742879866642
146432 71.5 0.00127431551034709
146944 71.75 0.00127434123756848
147456 72 0.00127436499603608
147968 72.25 0.00127438623300069
148480 72.5 0.00127440464856478
148992 72.75 0.00127442047328545
149504 73 0.00127443418704408
150016 73.25 0.00127444616828827
150528 73.5 0.00127445662323353
151040 73.75 0.00127446559998199
151552 74 0.0012744728948889
152064 74.25 0.00127447808290616
152576 74.5 0.00127448087440756
153088 74.75 0.00127448146968054
153600 75 0.00127448043186336
154112 75.25 0.00127447816463314
154624 75.5 0.0012744745876292
155136 75.75 0.00127446935471108
155648 76 0.00127446231630347
156160 76.25 0.001274453698363
156672 76.5 0.00127444385199322
157184 76.75 0.00127443290770383
157696 77 0.00127442072612109
158208 77.25 0.00127440716218815
158720 77.5 0.0012743922946843
159232 77.75 0.00127437633789811
159744 78 0.00127435936685833
160256 78.25 0.00127434123082115
160768 78.5 0.0012743217897677
161280 78.75 0.00127430119983469
161792 79 0.00127427990637424
162304 79.25 0.00127425832259485
162816 79.5 0.00127423648714189
163328 79.75 0.00127421401485322
163840 80 0.00127419041622197
164352 80.25 0.00127416555023492
164864 80.5 0.00127413981486902
165376 80.75 0.00127411386174441
165888 81 0.00127408806670955
166400 81.25 0.00127406226052423
166912 81.5 0.00127403597910597
167424 81.75 0.00127400896338046
167936 82 0.00127398140508935
168448 82.25 0.00127395373040948
168960 82.5 0.00127392618555108
169472 82.75 0.00127389865165788
169984 83 0.00127387085048292
170496 83.25 0.00127384269895435
171008 83.5 0.00127381442886154
171520 83.75 0.00127378635461544
172032 84 0.00127375857074878
172544 84.25 0.00127373093245708
173056 84.5 0.00127370331296844
173568 84.75 0.00127367578582082
174080 85 0.001273648504336
174592 85.25 0.00127362147827785
175104 85.5 0.00127359458708037
175616 85.75 0.00127356782672179
176128 86 0.00127354144648716
176640 86.25 0.00127351576541984
177152 86.5 0.00127349087420497
177664 86.75 0.00127346657248502
178176 87 0.00127344260902883
178688 87.25 0.00127341896204315
179200 87.5 0.00127339588088309
179712 87.75 0.00127337366566562
180224 88 0.00127335240910493
180736 88.25 0.00127333195553767
181248 88.5 0.00127331211830564
181760 88.75 0.0012732929186466
182272 89 0.00127327457122116
182784 89.25 0.00127325723925278
183296 89.5 0.00127324087384134
183808 89.75 0.0012732253376464
184320 90 0.00127321063221574
184832 90.25 0.00127319693380984
185344 90.5 0.00127318443271124
185856 90.75 0.00127317320497598
186368 91 0.00127316321090272
186880 91.25 0.00127315431968551
187392 91.5 0.00127314634346181
